track_id,track_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,year
0EuLgf70TMEQks2jeiTaaL,Something's Missing (A Capella) [Bonus Track],The UNCG Spartones,1,211000,0.283,0.447,C#,-6.217,Minor,0.0351,0.869,0.0,0.137,0.466,130.481,A Capella,
6iytx1yeXtNmF1vt44GIhB,Would You Go With Me,Hyannis Sound,1,226933,0.62,0.584,D#,-8.501,Minor,0.0364,0.832,3.39e-06,0.111,0.635,123.035,A Capella,
2BizyaSsJmGRi7TdmL4rJG,In Christ Alone,Glad,12,245213,0.39,0.1,F,-11.685,Major,0.0367,0.691,0.0,0.074,0.28,112.996,A Capella,
5FeU992vNw1J8j8aEw7vcR,Teenager in Love,MC6 A Cappella,22,175000,0.583,0.318,C#,-8.252,Major,0.0311,0.835,0.0,0.118,0.51,75.911,A Capella,
00o5U4aOaTyMRW201ZWE1l,Sometimes I Feel Like a Motherless Child,The Singers Unlimited,4,270982,0.267,0.046,G,-19.249,Minor,0.0334,0.975,0.021,0.126,0.0583,135.653,A Capella,
3USKF8rTqqU4nOF9wlsOP2,"Rejoice, The Lord is King",Glad,7,240667,0.58,0.186,D,-14.499,Major,0.026,0.89,0.0,0.159,0.6,97.848,A Capella,
10dia2iL9YWckDnz44UfDl,In the Still of the Night,MC6 A Cappella,20,189933,0.311,0.442,A,-9.487,Major,0.0448,0.715,0.0,0.141,0.463,69.001,A Capella,
6pxf88ah1fZF0djRnbyIlI,Love Is Here to Stay,The Singers Unlimited,7,201395,0.269,0.124,D,-18.068,Minor,0.0333,0.967,0.0101,0.175,0.122,110.121,A Capella,
4ogTa2tLPM7RZc1WsR2M9j,Holy Holy Holy,Glad,12,253653,0.297,0.155,D,-11.094,Major,0.0282,0.524,0.0,0.11,0.145,91.833,A Capella,
0crWDkAajRTnsGuZ6CAU85,The Lion Sleeps Tonight,MC6 A Cappella,26,183920,0.691,0.49,F,-11.222,Major,0.0743,0.302,6.5e-06,0.229,0.664,107.066,A Capella,
3w9eYozECT0ANTETwLrMO7,Christ the Lord is Risen Today,Glad,16,222827,0.381,0.264,C,-11.138,Major,0.035,0.822,0.0,0.0978,0.439,122.419,A Capella,
2pjmnDM1ms6mybynydunez,Try to Remember,The Singers Unlimited,11,238536,0.213,0.0493,C,-19.858,Minor,0.033,0.974,0.000118,0.195,0.0529,90.729,A Capella,
2uCNIwrn03klSdovv7Cdd9,Winter Wonderland,The King's Singers,8,276667,0.532,0.165,C#,-14.464,Major,0.0342,0.95,1.04e-06,0.114,0.184,118.111,A Capella,
54eOtB9Vz0nli6U5Ez00ep,Blue Moon,MC6 A Cappella,23,135107,0.747,0.505,G,-9.263,Major,0.0746,0.668,0.0,0.101,0.716,122.177,A Capella,
3BgK9eg2tEal7aXwaaPL6e,I've Got You Under My Skin,The King's Singers,1,221867,0.38,0.067,F,-21.115,Minor,0.0321,0.958,0.0,0.111,0.179,95.665,A Capella,
5lawzyUvGAmyuvHwSfqE0j,I Still Haven't Found What I'm Looking for,Hyannis Sound,1,303720,0.308,0.419,C#,-6.351,Major,0.0323,0.894,0.0,0.0528,0.232,113.526,A Capella,
4cDYqCte9iuEweE5fCwtaP,Absolutely (Story of a Girl),Hyannis Sound,1,164280,0.616,0.569,G,-6.09,Major,0.0583,0.575,0.0,0.0833,0.717,100.906,A Capella,
5iofmfsC5oJHf3f567Oiei,I Don't Know Were I Stand,The Singers Unlimited,9,209233,0.176,0.0545,C#,-20.169,Major,0.0345,0.967,0.00365,0.109,0.061,78.801,A Capella,
1FGqAy66dgRqCUNyXcaE7Y,Sing a New Song,Glad,6,237707,0.25,0.33,D#,-11.441,Major,0.0285,0.881,0.0,0.129,0.314,170.281,A Capella,
4wCJxwpFvudAtaZGDsis3E,Walking Away,Hyannis Sound,1,252000,0.257,0.549,A,-8.254,Minor,0.048,0.79,0.0,0.145,0.418,172.559,A Capella,
2XztNbkz5TrZ8PnCAgmrsY,Like Someone in Love,The Singers Unlimited,10,214018,0.222,0.0457,G#,-17.002,Major,0.0293,0.939,0.0,0.111,0.0702,168.599,A Capella,
4RzHz9UAwzNwI0XYRiRDXy,"One More Time, Chuck Corea",The Singers Unlimited,4,202213,0.319,0.192,C,-14.226,Major,0.0324,0.905,0.336,0.106,0.157,98.857,A Capella,
2f91f6KPKoO6Pq2oA7qf8W,Lullaby,The Singers Unlimited,9,94428,0.218,0.073,C#,-19.452,Major,0.0328,0.98,0.000179,0.117,0.239,81.993,A Capella,
3fWcXgN5q8UQNupJau0LMP,At Last,The King's Singers,1,150533,0.397,0.0855,D,-19.271,Major,0.0315,0.954,0.00158,0.101,0.146,96.108,A Capella,
74QVUPpEOmOZwda1m0Z6gn,The Entertainer,The Singers Unlimited,4,189967,0.351,0.0549,F,-15.692,Major,0.0344,0.98,7.69e-05,0.127,0.0927,132.426,A Capella,
7zvJ5hM42ZzYILWH1kS7h6,You Put This Love in My Heart,Glad,7,179973,0.685,0.44,D#,-10.43,Minor,0.0304,0.83,0.0,0.201,0.694,123.18,A Capella,
3uJJ0dZFKYDdEITXRM0Ks0,I Wish You Love,The Singers Unlimited,8,200891,0.259,0.134,F,-17.48,Minor,0.0328,0.97,0.0243,0.187,0.191,133.002,A Capella,
2tyiDNTmznz6B2DX6Hm6Va,Crown Him With Many Crowns,Glad,6,191600,0.429,0.167,C,-12.685,Major,0.0324,0.815,0.0,0.24,0.626,93.788,A Capella,
42QN694XzOivii0tWb1LTg,"Ok, It's Alright With Me",Hyannis Sound,1,149933,0.683,0.521,C,-6.649,Major,0.0335,0.484,0.0,0.106,0.518,151.952,A Capella,
3iajmwxfwsScVIHVIoyNcd,Indian Summer,The Singers Unlimited,9,176523,0.299,0.129,C,-18.478,Major,0.0301,0.983,0.000135,0.0995,0.0958,37.861,A Capella,
3OpR6uTPj1BLcCnbXCt2OD,Girl Talk,The Singers Unlimited,8,158904,0.41,0.158,C,-15.025,Major,0.0307,0.978,0.13,0.111,0.148,81.189,A Capella,
5QP9P48x0NmnLhCTRg3CYU,Killing Me Softly with His Song,The Singers Unlimited,14,260067,0.255,0.14,C,-14.632,Major,0.0285,0.962,0.00105,0.17,0.154,89.74,A Capella,
4RHFJC9cne1vQRq97zW3oH,My Funny Valentine,The King's Singers,1,204293,0.226,0.0499,G#,-21.84,Major,0.0364,0.968,2.49e-05,0.128,0.0888,80.231,A Capella,
6X128PGN8ZbVubV3nxqhnv,The Way We Were,The Singers Unlimited,10,188653,0.209,0.137,A,-16.809,Minor,0.0377,0.974,0.256,0.14,0.15,85.845,A Capella,
6apsUe4P2HprFe7QNjOJTC,God so Loved the World,Glad,5,249560,0.209,0.157,F,-13.345,Major,0.0385,0.834,0.0,0.0774,0.232,74.847,A Capella,
0ieYJ8kqH8gXmB0bnw57hx,Night and Day,The King's Singers,1,175480,0.353,0.0998,B,-18.014,Major,0.0394,0.957,0.0,0.0731,0.108,122.185,A Capella,
7mvUfG2CvKksNSWscbLdwq,Be Still My Soul,Glad,9,233093,0.323,0.0872,F#,-11.938,Major,0.0323,0.784,0.0,0.119,0.144,110.479,A Capella,
2nSkmdpL7TMInWEgCIWDzI,My Romance,The Singers Unlimited,13,156144,0.213,0.0401,D,-22.201,Major,0.034,0.973,0.000461,0.0964,0.0742,76.003,A Capella,
6OqO5V4PTmmcOTsTfyw2zw,Somewhere Only We Know,Hyannis Sound,2,234627,0.473,0.436,A,-7.625,Major,0.0282,0.614,0.0,0.0795,0.226,171.931,A Capella,
1iXJKuzDH0E6PnTk2lQXAq,Clair,The Singers Unlimited,33,154200,0.484,0.222,F,-14.631,Minor,0.044,0.973,0.000306,0.104,0.409,127.689,A Capella,
5UeKh9a42GNz5Myohx4MUW,A Thousand Miles,Hyannis Sound,7,237867,0.315,0.506,B,-7.568,Major,0.0369,0.74,0.0,0.218,0.544,92.703,A Capella,
0r2kt0tDKGyDlO1fUZFYmC,Up On the Roof,MC6 A Cappella,17,176013,0.457,0.252,D,-8.72,Major,0.0265,0.845,0.0,0.103,0.268,104.6,A Capella,
3XxwdU13609bTGaAFRg3PA,Come Go With Me,MC6 A Cappella,25,137800,0.717,0.518,G#,-7.754,Major,0.0883,0.802,0.0,0.094,0.672,129.878,A Capella,
1qswpslHs4K52tE43c0EPT,London By Night,The Singers Unlimited,16,209695,0.257,0.0905,F,-17.74,Major,0.0326,0.97,4.79e-05,0.293,0.136,91.425,A Capella,
4ZFhgmQDR2RIF82d8taQY2,White Christmas,The King's Singers,8,190227,0.356,0.204,C#,-15.196,Major,0.04,0.895,0.0,0.0781,0.222,129.701,A Capella,
3v1jAxbIqD5bABpzT4N7aK,Why Georgia,Hyannis Sound,1,268413,0.612,0.393,G,-9.499,Major,0.0284,0.582,0.0,0.0805,0.191,97.01,A Capella,
2tnvjsXIBmOp6n6JjFhRl7,Sweet Lorraine,The Singers Unlimited,7,206722,0.374,0.16,E,-14.685,Minor,0.0309,0.965,0.0013,0.381,0.186,106.205,A Capella,
5tW5DvpRNhYGLVvqJkMFLI,It's Beginning to Look a Lot Like Christmas,The King's Singers,9,183387,0.398,0.185,B,-15.172,Major,0.0636,0.948,0.0,0.119,0.383,82.055,A Capella,
0rCHbbEjDLqg8KjWA80lkY,Since You've Asked,The Singers Unlimited,6,178653,0.28,0.0912,G,-16.953,Major,0.0341,0.992,0.000587,0.108,0.0797,79.1,A Capella,
32tK9k8wxjLk2ecV5gWtUo,One Fine Day,MC6 A Cappella,18,174253,0.784,0.702,B,-7.54,Major,0.0834,0.628,0.0,0.133,0.727,95.975,A Capella,
6NmaKEfOqDJRV4Imm00YSL,Killing Me Softly With His Song,The Singers Unlimited,9,259567,0.215,0.116,C,-16.36,Major,0.0311,0.965,0.00107,0.242,0.159,179.777,A Capella,
39e4ZwUOqlRYkARjeppNLy,Rockin' Around the Christmas Tree,The Swingle Singers,10,114507,0.609,0.279,G#,-14.521,Major,0.0621,0.693,5.61e-06,0.179,0.819,160.139,A Capella,
2mvF3b4g2kkEDwK4b1AuOJ,So Much in Love,MC6 A Cappella,19,185800,0.55,0.272,C,-10.649,Minor,0.0262,0.83,0.0,0.13,0.583,79.045,A Capella,
6zp8vPICDTVwRKSDW3nL3O,Carolina in My Mind,Hyannis Sound,1,224560,0.47,0.262,E,-9.466,Major,0.0352,0.894,0.0,0.114,0.416,75.431,A Capella,
37BPychMbzTDxPrXJvYNZy,Sleigh Ride,The King's Singers,13,153947,0.735,0.343,A,-12.998,Major,0.0569,0.894,0.0,0.124,0.87,102.901,A Capella,
1yOyOILkA29kssOnsqfS93,Jeanie With the Light Brown Hair,The Singers Unlimited,5,156652,0.297,0.0427,G,-20.471,Major,0.0369,0.989,0.00474,0.23,0.131,110.065,A Capella,
0JzOJIS7ktLq5Ux6LtYJuW,Fix You - Acoustic,John Adams,49,162963,0.494,0.152,3,-9.843,1,0.0313,0.947,0.0,0.123,0.304,134.178,Acoustic,
2JI53ZVCxMucM68UpCtZ5C,Fake a smile,Wayne Mack,57,169600,0.731,0.191,0,-11.359,1,0.122,0.735,0.671,0.131,0.274,149.91,Acoustic,
2jHEySxCzzODFWmPzt084L,18 ~eighteen~,Masaharu Fukuyama,31,326600,0.609,0.76,0,-5.16,1,0.0283,0.131,0.0,0.41,0.44,117.135,Acoustic,
5X3w2MfxgMTZkn2mTPQs0u,Stand Your Ground,Joshua Hyslop,62,203253,0.71,0.271,7,-9.541,1,0.0283,0.658,4.59e-06,0.115,0.686,131.88,Acoustic,
1wMG2dMCgh1Bn6d0XkOnHo,White Worms,AJJ,27,163385,0.336,0.761,9,-6.312,1,0.0399,0.000546,0.00284,0.113,0.501,127.065,Acoustic,
4xN6o0Y195FTgzQvmnuMNw,Make It Easy On Yourself,Gail Blanco,25,226320,0.391,0.322,2,-10.845,1,0.0322,0.88,0.0,0.118,0.278,180.048,Acoustic,
18PrtmAcNMgZNy1edWuXGb,A Sky Full of Stars,Mother's Daughter;Beck Pete,55,165067,0.643,0.11,6,-14.28,1,0.0294,0.876,1.38e-05,0.112,0.152,101.995,Acoustic,
4khjcb6Mpegp1N596VVyf6,There She Goes,Clementine Duo,54,145514,0.724,0.28,9,-12.788,1,0.0303,0.755,0.0,0.326,0.527,106.966,Acoustic,
0N7UyDRbyHe2L63ilYDcRK,Afterglow,Andrew Foy;Renee Foy,33,211358,0.711,0.168,0,-16.504,1,0.0367,0.868,1.99e-05,0.114,0.299,109.937,Acoustic,
0NkeEkDFOby5xOZ7BIKVuD,Setting Forth,Eddie Vedder,53,97866,0.549,0.78,2,-5.08,1,0.0291,0.0116,0.0,0.195,0.804,119.369,Acoustic,
6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Jason Mraz,19,198855,0.646,0.836,1,-6.203,1,0.0327,0.301,3.23e-05,0.29,0.727,105.991,Acoustic,
5tn4ViAVQvGNRvzFIzOnGm,Ikaw Lamang,Ice Seguerra,25,282387,0.614,0.441,10,-9.375,1,0.0294,0.76,4.18e-05,0.142,0.148,117.991,Acoustic,
4ujYTGqbiV5xl97Pqoctq2,This Little Light of Mine,JJ Heller,49,159820,0.534,0.26,1,-12.406,1,0.0319,0.834,0.00405,0.102,0.151,113.877,Acoustic,
5aBpIqXfktr9SSwyAi8Hlj,"Corinna - From ""The Natch'l Blues""",Taj Mahal,29,180920,0.621,0.294,9,-13.468,1,0.11,0.558,2.54e-05,0.0946,0.728,78.599,Acoustic,
5LHruF9uFyPxGpimaknrU8,Love Me Like You Do,Boyce Avenue,55,198218,0.45,0.254,4,-9.873,1,0.0414,0.827,0.0,0.204,0.248,92.644,Acoustic,
41XVcLXrmbxiV0mJASJxov,Ships In The Night,Mat Kearney,44,255893,0.448,0.885,9,-3.755,1,0.0562,0.111,3.65e-06,0.0476,0.134,178.151,Acoustic,
674WNL7f5Xo8XxtipzB3ao,Heaven Is a Place on Earth,The Mayries,56,193333,0.634,0.176,0,-14.703,1,0.0307,0.931,1.6e-06,0.136,0.335,107.974,Acoustic,
0v0pc1lIt5p6EBX7pnfOGF,Holding On and Letting Go,Ross Copperman,49,317441,0.486,0.555,2,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,77.987,Acoustic,
3NqKDdehfEZ00H4uFghoMr,音タイム,Hanare Gumi,29,229533,0.373,0.716,5,-7.358,1,0.0313,0.082,0.000239,0.105,0.374,134.764,Acoustic,
31GGw4QarlH4neWIHsFQeq,Laugh While You Can,The Bridge City Sinners,28,168118,0.672,0.879,9,-3.693,1,0.114,0.629,4.09e-06,0.169,0.74,119.996,Acoustic,
2z3HKlpENvfz1Am2MNF2pL,I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,57,199594,0.322,0.213,10,-14.915,0,0.0318,0.611,0.0,0.113,0.16,160.389,Acoustic,
2pelUnMKr07JjJpilj9Yew,I'll Do Anything,Jason Mraz,24,191889,0.57,0.711,9,-4.155,1,0.0703,0.119,0.0,0.352,0.648,163.117,Acoustic,
5Z8O4RFAmjA13jrOYIgyXA,Oh What A Love,Kina Grannis,46,235135,0.457,0.064,6,-19.928,1,0.0339,0.941,0.108,0.107,0.0647,147.824,Acoustic,
7qHPp1beQupJUzwRyVtoyy,Hold On,Chord Overstreet,35,198853,0.609,0.443,2,-9.681,1,0.0546,0.469,0.0,0.0829,0.166,119.967,Acoustic,
1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,57,292566,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,Acoustic,
2E9viCx0hJKNKNThd2MdGQ,You're Still The One,Bailey Jehl,56,177500,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,Acoustic,
203ADb8800e1YSzyrFQUZ9,Skylight,Gabrielle Aplin,23,240449,0.524,0.566,1,-5.443,1,0.0364,0.0411,0.0,0.25,0.362,159.914,Acoustic,
5dH4xnErpUOIDrGySWGkfJ,Stars Are on Your Side,Ross Copperman,49,218004,0.255,0.625,0,-8.31,1,0.0323,0.63,0.000211,0.0976,0.191,84.611,Acoustic,
2Sg5gtKvSiRf7TBjI0ObF2,We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,26,222911,0.524,0.328,11,-10.001,1,0.0403,0.817,0.0,0.118,0.599,99.941,Acoustic,
5aDpULK8MbJmHl42kR5KNI,Collide,Howie Day,56,249120,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,Acoustic,
1CYBnHYYbOAsuDCGa0zrw0,Without a Light,Drew Holcomb & The Neighbors,60,142200,0.493,0.435,7,-12.334,1,0.0423,0.656,0.000327,0.118,0.485,87.952,Acoustic,
37jsciEAFxwyjXx0kV6aO6,A Month from Now,Rail Yard Ghosts,34,192392,0.415,0.619,2,-7.624,0,0.123,0.946,2.75e-05,0.799,0.739,77.009,Acoustic,
4XqFl2hYwxBSVWhCG2oPUA,Have I Told You Lately That I Love You - Acoustic,John Adams,52,201885,0.58,0.188,9,-9.34,1,0.0511,0.935,0.0,0.264,0.431,121.648,Acoustic,
7ImaCF0ttRFNoQIErYlRq5,You've Got a Friend,Suy Galvez,29,274720,0.665,0.487,7,-9.409,1,0.0243,0.639,6.75e-05,0.091,0.326,94.978,Acoustic,
0WSGIwIEqpfe3jGJ5fZsHr,Don't Wanna Be Without Ya,Penny and Sparrow,58,207762,0.651,0.86,7,-7.8,1,0.138,0.609,0.00646,0.0735,0.29,115.0,Acoustic,
