genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
A Capella,The Singers Unlimited,Anything Goes,7FPztxLwuZqwvQ9E57jbBy,4,0.923,0.461,212760,0.154,1.33e-06,F,0.261,-14.808,Major,0.0399,137.518,4/4,0.553
A Capella,MC6 A Cappella,Surfer Girl,0m8ZjsRZYRQlj7gpp9x1QI,18,0.69,0.524,174320,0.298,0.0,G#,0.315,-9.789,Major,0.0254,94.508,3/4,0.543
A Capella,The Swingle Singers,The Christmas Song (Merry Christmas to You),01nmLTTJW6QARRi0AaaJOc,9,0.859,0.71,194347,0.34,0.000457,B,0.114,-19.158,Minor,0.0437,130.014,4/4,0.389
A Capella,The Singers Unlimited,All the Things You Are,3rAyathx1VKaUel80vh1g0,8,0.977,0.243,225850,0.0622,0.0566,B,0.0907,-19.874,Minor,0.0383,134.759,5/4,0.038
A Capella,The Singers Unlimited,April in Paris,3Z0yXxX0Id4zFNWkVKFjFl,6,0.974,0.234,190572,0.0932,0.000282,A#,0.114,-17.609,Minor,0.0336,123.619,5/4,0.0384
A Capella,The King's Singers,Cry Me a River,0xbrLsMvYqboUQgNhdP77s,1,0.956,0.259,201040,0.0525,0.000205,A#,0.113,-21.525,Minor,0.0352,107.431,5/4,0.0775
A Capella,Glad,"All Glory, Laud and Honor",0ENyD2LlUqIqzILaWaXN8Y,7,0.914,0.171,234707,0.185,0.0,A,0.162,-13.997,Major,0.0306,76.832,4/4,0.189
A Capella,MC6 A Cappella,409/Little Deuce Coupe,21mQiZt0PNxJw6RQFtlAoi,20,0.782,0.55,211133,0.448,0.0,G#,0.0657,-7.921,Major,0.0655,115.038,4/4,0.891
A Capella,Glad,Blessed Be Your Name,4Rn9UJHp3SdppLr5U8HYlW,10,0.574,0.706,248080,0.559,0.0,G,0.0949,-7.662,Major,0.0612,119.976,4/4,0.653
A Capella,The King's Singers,The Little Drummer Boy,6MsBT9RvRMuRldZpYXRGYg,10,0.992,0.297,165507,0.018,4.6e-05,E,0.117,-29.368,Major,0.0384,119.451,4/4,0.039
A Capella,The Singers Unlimited,The Fool On the Hill,3epS64XtnJEsWVmD4MGpo8,15,0.971,0.291,271735,0.0979,0.00961,F,0.151,-17.929,Major,0.0302,110.908,3/4,0.113
A Capella,BYU Noteworthy,Star Wars: A Capella Strikes Back,3r9nIjOWziM9HZnWA0vWV8,15,0.703,0.313,241350,0.405,0.00914,B,0.0957,-7.401,Major,0.0325,95.254,4/4,0.291
A Capella,Glad,O Sacred Head Now Wounded,4T0MhF3l1r8GGjVu9D68LG,10,0.793,0.315,167760,0.187,0.0,B,0.225,-9.709,Minor,0.0284,80.885,4/4,0.19
A Capella,Glad,Just As I Am,5MGuzelumWnTfIqtG4whf4,6,0.909,0.315,174827,0.0817,0.0,G,0.18,-14.046,Major,0.0331,137.341,3/4,0.319
A Capella,The Swingle Singers,Santa Baby,7307wo13OdM2bjMSbqE6o2,9,0.915,0.72,192400,0.12,0.0,C#,0.0832,-18.935,Major,0.0676,90.103,4/4,0.302
A Capella,Peter Hollens,December Song [Bonus Track] - A Capella,0FXAP0YeMzfgPQpLp5ZTOv,18,0.861,0.185,238053,0.394,5.08e-06,F#,0.0949,-3.555,Major,0.0324,45.957,4/4,0.191
A Capella,The Singers Unlimited,Autumn in New York,2QBS34J7bb2s65qKJ7GAEZ,10,0.984,0.234,169849,0.094,3.47e-05,G,0.0858,-17.571,Minor,0.031,140.817,1/4,0.107
A Capella,Hyannis Sound,Use Somebody,3dAOzj0Yb3hHD6sllOKtZR,2,0.434,0.513,228307,0.524,0.0,C,0.242,-6.999,Major,0.0284,138.067,4/4,0.559
A Capella,Hyannis Sound,Falling Slowly,1Pizfi5QnasLcV1nCfjV3l,1,0.929,0.205,261760,0.234,0.0,C,0.0963,-9.044,Major,0.0296,145.385,4/4,0.0653
A Capella,MC6 A Cappella,Sherry,6kYfnFjxQYx2WkBW5jIiiI,23,0.36,0.654,150027,0.427,0.0,A#,0.15,-7.963,Major,0.0379,125.39,4/4,0.811
A Capella,Glad,All Hail the Power of Jesus' Name,1uooaC1KFcxzYbiHpbP0hi,10,0.733,0.487,177640,0.263,0.0,G#,0.233,-9.489,Major,0.0334,143.268,3/4,0.557
A Capella,The Swingle Singers,Walking in the Air,16Tq5k2t9XaxWAvICDscHM,11,0.975,0.353,202227,0.0728,0.000742,D,0.106,-18.865,Minor,0.0337,99.788,4/4,0.0858
A Capella,The Singers Unlimited,I Don't Know Where I Stand,6NqmBUATHS25mastXwA94Y,5,0.976,0.18,207760,0.0674,0.00361,A#,0.104,-18.92,Minor,0.0332,78.818,4/4,0.0665
A Capella,The Singers Unlimited,Michelle,3niXFa4G32F7hsNIsRvn3y,15,0.984,0.275,228853,0.043,1.41e-06,D,0.165,-21.241,Minor,0.0323,101.729,3/4,0.0395
A Capella,Glad,Sing it A Cappella,7hSLYMzlrLdQdpgjOhmHBw,7,0.771,0.51,215333,0.326,0.0,F,0.12,-11.754,Major,0.0285,142.402,4/4,0.418
A Capella,Glad,O Wondrous Love,0PCgsZKSCmsDlHBXRTdejp,23,0.793,0.349,228147,0.0913,1.61e-06,F,0.141,-15.003,Major,0.0396,120.405,3/4,0.15
A Capella,Hyannis Sound,Part Time Lover,65rrpuOdLUM1aXxS2GjtyY,5,0.491,0.55,206147,0.721,0.0,A#,0.114,-4.843,Minor,0.0968,174.889,4/4,0.722
A Capella,The Singers Unlimited,More I Can Not Wish You,4ZGh4eQlCDUuJJOx7t0EZm,8,0.982,0.272,215104,0.0498,4.88e-05,G#,0.205,-19.338,Major,0.032,83.384,4/4,0.178
A Capella,The Singers Unlimited,Since You Asked,5Zn57fZqYlBAP6uovrEqOz,12,0.985,0.261,177844,0.0658,3.24e-06,A,0.105,-19.158,Minor,0.0348,77.112,5/4,0.0662
A Capella,Glad,When I Survey the Wondrous Cross,3HljLnSp0qLyUWo4Up4c4q,8,0.928,0.301,252400,0.124,0.0,C,0.118,-15.03,Major,0.029,81.598,3/4,0.109
A Capella,MC6 A Cappella,Since You've Been Gone,6VUdwP2f9JZLLzi6ncOuV4,18,0.846,0.603,99973,0.396,0.0,G#,0.0735,-7.451,Major,0.0665,125.115,5/4,0.593
A Capella,The King's Singers,Beyond the Sea,4kyQBYJA3cNHqrzshP6OFD,1,0.918,0.636,230880,0.0884,0.0,F,0.11,-19.456,Major,0.0409,119.801,4/4,0.573
A Capella,The Singers Unlimited,Both Sides Now,3zFfH4tfGuVWbjNdNUX9QI,13,0.97,0.303,182002,0.118,1.24e-05,F,0.12,-15.882,Major,0.0539,72.587,4/4,0.122
A Capella,Hyannis Sound,Long Train Runnin',0GJdTnDivBrnShR4nHa7F7,4,0.599,0.668,180987,0.769,0.0,G,0.21,-4.906,Minor,0.0865,116.913,4/4,0.885
A Capella,MC6 A Cappella,Runaround Sue,6iAU2N1jJqY9qUGvBTHtWa,23,0.656,0.705,159120,0.57,0.0,A#,0.0897,-7.124,Major,0.0983,81.977,4/4,0.652
A Capella,Glad,"My Jesus, I Love Thee",3zwoiDPjZP99NrTCOb3jYK,7,0.947,0.233,211693,0.0567,0.0,F#,0.102,-16.531,Minor,0.0295,129.014,3/4,0.0491
A Capella,Hyannis Sound,Faithfully,6SK51QRc3B1S7uzX8zK0Bs,3,0.562,0.48,250840,0.38,0.0,B,0.0998,-7.015,Major,0.0262,129.88,4/4,0.25
A Capella,The Singers Unlimited,Lost in the Stars,5bpGtPqFB5yVFTVWxvYY6X,6,0.972,0.32,197262,0.0628,3.39e-05,D#,0.11,-18.562,Major,0.0335,118.643,3/4,0.0516
A Capella,The Singers Unlimited,Nature Boy,2Wx1DL84XGOJ70j12lEcr5,15,0.967,0.241,207040,0.117,4.26e-06,G,0.111,-18.035,Major,0.0306,108.059,3/4,0.0676
A Capella,Glad,Receive the Glory,5vPd4b35pDqo7Mwe2POO4D,17,0.83,0.384,198400,0.172,0.0,A#,0.195,-9.962,Major,0.0333,122.06,4/4,0.174
A Capella,The UNCG Spartones,Something's Missing (A Capella) [Bonus Track],0EuLgf70TMEQks2jeiTaaL,1,0.869,0.283,211000,0.447,0.0,C#,0.137,-6.217,Minor,0.0351,130.481,1/4,0.466
A Capella,Hyannis Sound,Would You Go With Me,6iytx1yeXtNmF1vt44GIhB,1,0.832,0.62,226933,0.584,3.39e-06,D#,0.111,-8.501,Minor,0.0364,123.035,4/4,0.635
A Capella,Glad,In Christ Alone,2BizyaSsJmGRi7TdmL4rJG,12,0.691,0.39,245213,0.1,0.0,F,0.074,-11.685,Major,0.0367,112.996,3/4,0.28
A Capella,MC6 A Cappella,Teenager in Love,5FeU992vNw1J8j8aEw7vcR,22,0.835,0.583,175000,0.318,0.0,C#,0.118,-8.252,Major,0.0311,75.911,4/4,0.51
A Capella,The Singers Unlimited,Sometimes I Feel Like a Motherless Child,00o5U4aOaTyMRW201ZWE1l,4,0.975,0.267,270982,0.046,0.021,G,0.126,-19.249,Minor,0.0334,135.653,4/4,0.0583
A Capella,Glad,"Rejoice, The Lord is King",3USKF8rTqqU4nOF9wlsOP2,7,0.89,0.58,240667,0.186,0.0,D,0.159,-14.499,Major,0.026,97.848,4/4,0.6
A Capella,MC6 A Cappella,In the Still of the Night,10dia2iL9YWckDnz44UfDl,20,0.715,0.311,189933,0.442,0.0,A,0.141,-9.487,Major,0.0448,69.001,4/4,0.463
A Capella,The Singers Unlimited,Love Is Here to Stay,6pxf88ah1fZF0djRnbyIlI,7,0.967,0.269,201395,0.124,0.0101,D,0.175,-18.068,Minor,0.0333,110.121,3/4,0.122
A Capella,Glad,Holy Holy Holy,4ogTa2tLPM7RZc1WsR2M9j,12,0.524,0.297,253653,0.155,0.0,D,0.11,-11.094,Major,0.0282,91.833,4/4,0.145
A Capella,MC6 A Cappella,The Lion Sleeps Tonight,0crWDkAajRTnsGuZ6CAU85,26,0.302,0.691,183920,0.49,6.5e-06,F,0.229,-11.222,Major,0.0743,107.066,4/4,0.664
A Capella,Glad,Christ the Lord is Risen Today,3w9eYozECT0ANTETwLrMO7,16,0.822,0.381,222827,0.264,0.0,C,0.0978,-11.138,Major,0.035,122.419,1/4,0.439
A Capella,The Singers Unlimited,Try to Remember,2pjmnDM1ms6mybynydunez,11,0.974,0.213,238536,0.0493,0.000118,C,0.195,-19.858,Minor,0.033,90.729,4/4,0.0529
A Capella,The King's Singers,Winter Wonderland,2uCNIwrn03klSdovv7Cdd9,8,0.95,0.532,276667,0.165,1.04e-06,C#,0.114,-14.464,Major,0.0342,118.111,4/4,0.184
A Capella,MC6 A Cappella,Blue Moon,54eOtB9Vz0nli6U5Ez00ep,23,0.668,0.747,135107,0.505,0.0,G,0.101,-9.263,Major,0.0746,122.177,4/4,0.716
A Capella,The King's Singers,I've Got You Under My Skin,3BgK9eg2tEal7aXwaaPL6e,1,0.958,0.38,221867,0.067,0.0,F,0.111,-21.115,Minor,0.0321,95.665,4/4,0.179
A Capella,Hyannis Sound,I Still Haven't Found What I'm Looking for,5lawzyUvGAmyuvHwSfqE0j,1,0.894,0.308,303720,0.419,0.0,C#,0.0528,-6.351,Major,0.0323,113.526,5/4,0.232
A Capella,Hyannis Sound,Absolutely (Story of a Girl),4cDYqCte9iuEweE5fCwtaP,1,0.575,0.616,164280,0.569,0.0,G,0.0833,-6.09,Major,0.0583,100.906,4/4,0.717
A Capella,The Singers Unlimited,I Don't Know Were I Stand,5iofmfsC5oJHf3f567Oiei,9,0.967,0.176,209233,0.0545,0.00365,C#,0.109,-20.169,Major,0.0345,78.801,4/4,0.061
A Capella,Glad,Sing a New Song,1FGqAy66dgRqCUNyXcaE7Y,6,0.881,0.25,237707,0.33,0.0,D#,0.129,-11.441,Major,0.0285,170.281,3/4,0.314
A Capella,Hyannis Sound,Walking Away,4wCJxwpFvudAtaZGDsis3E,1,0.79,0.257,252000,0.549,0.0,A,0.145,-8.254,Minor,0.048,172.559,4/4,0.418
A Capella,The Singers Unlimited,Like Someone in Love,2XztNbkz5TrZ8PnCAgmrsY,10,0.939,0.222,214018,0.0457,0.0,G#,0.111,-17.002,Major,0.0293,168.599,4/4,0.0702
A Capella,The Singers Unlimited,"One More Time, Chuck Corea",4RzHz9UAwzNwI0XYRiRDXy,4,0.905,0.319,202213,0.192,0.336,C,0.106,-14.226,Major,0.0324,98.857,4/4,0.157
A Capella,The Singers Unlimited,Lullaby,2f91f6KPKoO6Pq2oA7qf8W,9,0.98,0.218,94428,0.073,0.000179,C#,0.117,-19.452,Major,0.0328,81.993,5/4,0.239
A Capella,The King's Singers,At Last,3fWcXgN5q8UQNupJau0LMP,1,0.954,0.397,150533,0.0855,0.00158,D,0.101,-19.271,Major,0.0315,96.108,3/4,0.146
A Capella,The Singers Unlimited,The Entertainer,74QVUPpEOmOZwda1m0Z6gn,4,0.98,0.351,189967,0.0549,7.69e-05,F,0.127,-15.692,Major,0.0344,132.426,4/4,0.0927
A Capella,Glad,You Put This Love in My Heart,7zvJ5hM42ZzYILWH1kS7h6,7,0.83,0.685,179973,0.44,0.0,D#,0.201,-10.43,Minor,0.0304,123.18,4/4,0.694
A Capella,The Singers Unlimited,I Wish You Love,3uJJ0dZFKYDdEITXRM0Ks0,8,0.97,0.259,200891,0.134,0.0243,F,0.187,-17.48,Minor,0.0328,133.002,4/4,0.191
A Capella,Glad,Crown Him With Many Crowns,2tyiDNTmznz6B2DX6Hm6Va,6,0.815,0.429,191600,0.167,0.0,C,0.24,-12.685,Major,0.0324,93.788,3/4,0.626
A Capella,Hyannis Sound,"Ok, It's Alright With Me",42QN694XzOivii0tWb1LTg,1,0.484,0.683,149933,0.521,0.0,C,0.106,-6.649,Major,0.0335,151.952,4/4,0.518
A Capella,The Singers Unlimited,Indian Summer,3iajmwxfwsScVIHVIoyNcd,9,0.983,0.299,176523,0.129,0.000135,C,0.0995,-18.478,Major,0.0301,37.861,4/4,0.0958
A Capella,The Singers Unlimited,Girl Talk,3OpR6uTPj1BLcCnbXCt2OD,8,0.978,0.41,158904,0.158,0.13,C,0.111,-15.025,Major,0.0307,81.189,4/4,0.148
A Capella,The Singers Unlimited,Killing Me Softly with His Song,5QP9P48x0NmnLhCTRg3CYU,14,0.962,0.255,260067,0.14,0.00105,C,0.17,-14.632,Major,0.0285,89.74,4/4,0.154
A Capella,The King's Singers,My Funny Valentine,4RHFJC9cne1vQRq97zW3oH,1,0.968,0.226,204293,0.0499,2.49e-05,G#,0.128,-21.84,Major,0.0364,80.231,3/4,0.0888
A Capella,The Singers Unlimited,The Way We Were,6X128PGN8ZbVubV3nxqhnv,10,0.974,0.209,188653,0.137,0.256,A,0.14,-16.809,Minor,0.0377,85.845,3/4,0.15
A Capella,Glad,God so Loved the World,6apsUe4P2HprFe7QNjOJTC,5,0.834,0.209,249560,0.157,0.0,F,0.0774,-13.345,Major,0.0385,74.847,4/4,0.232
A Capella,The King's Singers,Night and Day,0ieYJ8kqH8gXmB0bnw57hx,1,0.957,0.353,175480,0.0998,0.0,B,0.0731,-18.014,Major,0.0394,122.185,3/4,0.108
A Capella,Glad,Be Still My Soul,7mvUfG2CvKksNSWscbLdwq,9,0.784,0.323,233093,0.0872,0.0,F#,0.119,-11.938,Major,0.0323,110.479,4/4,0.144
A Capella,The Singers Unlimited,My Romance,2nSkmdpL7TMInWEgCIWDzI,13,0.973,0.213,156144,0.0401,0.000461,D,0.0964,-22.201,Major,0.034,76.003,5/4,0.0742
A Capella,Hyannis Sound,Somewhere Only We Know,6OqO5V4PTmmcOTsTfyw2zw,2,0.614,0.473,234627,0.436,0.0,A,0.0795,-7.625,Major,0.0282,171.931,4/4,0.226
A Capella,The Singers Unlimited,Clair,1iXJKuzDH0E6PnTk2lQXAq,33,0.973,0.484,154200,0.222,0.000306,F,0.104,-14.631,Minor,0.044,127.689,4/4,0.409
A Capella,Hyannis Sound,A Thousand Miles,5UeKh9a42GNz5Myohx4MUW,7,0.74,0.315,237867,0.506,0.0,B,0.218,-7.568,Major,0.0369,92.703,4/4,0.544
A Capella,MC6 A Cappella,Up On the Roof,0r2kt0tDKGyDlO1fUZFYmC,17,0.845,0.457,176013,0.252,0.0,D,0.103,-8.72,Major,0.0265,104.6,3/4,0.268
A Capella,MC6 A Cappella,Come Go With Me,3XxwdU13609bTGaAFRg3PA,25,0.802,0.717,137800,0.518,0.0,G#,0.094,-7.754,Major,0.0883,129.878,4/4,0.672
A Capella,The Singers Unlimited,London By Night,1qswpslHs4K52tE43c0EPT,16,0.97,0.257,209695,0.0905,4.79e-05,F,0.293,-17.74,Major,0.0326,91.425,4/4,0.136
A Capella,The King's Singers,White Christmas,4ZFhgmQDR2RIF82d8taQY2,8,0.895,0.356,190227,0.204,0.0,C#,0.0781,-15.196,Major,0.04,129.701,3/4,0.222
A Capella,Hyannis Sound,Why Georgia,3v1jAxbIqD5bABpzT4N7aK,1,0.582,0.612,268413,0.393,0.0,G,0.0805,-9.499,Major,0.0284,97.01,4/4,0.191
A Capella,The Singers Unlimited,Sweet Lorraine,2tnvjsXIBmOp6n6JjFhRl7,7,0.965,0.374,206722,0.16,0.0013,E,0.381,-14.685,Minor,0.0309,106.205,4/4,0.186
A Capella,The King's Singers,It's Beginning to Look a Lot Like Christmas,5tW5DvpRNhYGLVvqJkMFLI,9,0.948,0.398,183387,0.185,0.0,B,0.119,-15.172,Major,0.0636,82.055,1/4,0.383
A Capella,The Singers Unlimited,Since You've Asked,0rCHbbEjDLqg8KjWA80lkY,6,0.992,0.28,178653,0.0912,0.000587,G,0.108,-16.953,Major,0.0341,79.1,3/4,0.0797
A Capella,MC6 A Cappella,One Fine Day,32tK9k8wxjLk2ecV5gWtUo,18,0.628,0.784,174253,0.702,0.0,B,0.133,-7.54,Major,0.0834,95.975,4/4,0.727
A Capella,The Singers Unlimited,Killing Me Softly With His Song,6NmaKEfOqDJRV4Imm00YSL,9,0.965,0.215,259567,0.116,0.00107,C,0.242,-16.36,Major,0.0311,179.777,4/4,0.159
A Capella,The Swingle Singers,Rockin' Around the Christmas Tree,39e4ZwUOqlRYkARjeppNLy,10,0.693,0.609,114507,0.279,5.61e-06,G#,0.179,-14.521,Major,0.0621,160.139,4/4,0.819
A Capella,MC6 A Cappella,So Much in Love,2mvF3b4g2kkEDwK4b1AuOJ,19,0.83,0.55,185800,0.272,0.0,C,0.13,-10.649,Minor,0.0262,79.045,4/4,0.583
A Capella,Hyannis Sound,Carolina in My Mind,6zp8vPICDTVwRKSDW3nL3O,1,0.894,0.47,224560,0.262,0.0,E,0.114,-9.466,Major,0.0352,75.431,4/4,0.416
A Capella,The King's Singers,Sleigh Ride,37BPychMbzTDxPrXJvYNZy,13,0.894,0.735,153947,0.343,0.0,A,0.124,-12.998,Major,0.0569,102.901,4/4,0.87
A Capella,The Singers Unlimited,Jeanie With the Light Brown Hair,1yOyOILkA29kssOnsqfS93,5,0.989,0.297,156652,0.0427,0.00474,G,0.23,-20.471,Major,0.0369,110.065,5/4,0.131
Alternative,Earl Sweatshirt,Chum,6plT7nFGiXKSBP9HFSI4ef,62,0.0216,0.51,243773,0.503,0.002,A#,0.108,-8.756,Minor,0.242,153.582,4/4,0.193
Alternative,The Strokes,"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,59,0.983,0.544,204773,0.241,0.774,E,0.101,-14.779,Minor,0.03,109.437,4/4,0.359
Alternative,Justice,We Are Your Friends - Justice Vs Simian,49ErwcBYfYRPNBdRuPvpYA,58,0.0104,0.615,262773,0.97,0.384,A,0.178,1.342,Minor,0.119,122.993,4/4,0.507
Alternative,Earl Sweatshirt,Huey,3iut542DAj1c44VzyA6CpN,50,0.55,0.423,112067,0.59,4.22e-05,A,0.306,-7.37,Minor,0.156,76.035,4/4,0.387
Alternative,Three Days Grace,Lost in You,1uiwlmWedlNpzAxDSRGqdK,55,0.0199,0.434,232813,0.868,0.0,A,0.162,-3.503,Major,0.0366,162.969,5/4,0.366
Alternative,Can't Swim,"""sometimes you meet the right people at the wrong times""",1J5WWo4zSTWIKD7VFr6wn4,43,0.000109,0.382,188994,0.851,3.73e-06,E,0.335,-6.023,Minor,0.08,197.883,4/4,0.331
Alternative,Young the Giant,You + I,3rSkiyzwE3oQXhvMqobU0e,45,0.0995,0.624,254333,0.462,0.000104,G,0.399,-9.402,Major,0.0343,158.081,4/4,0.433
Alternative,Zacari,Redemption (with Babes Wodumo),76iVOVsliCHlWqKuDnCfhE,57,0.139,0.778,222093,0.765,0.0274,B,0.123,-7.175,Minor,0.128,125.062,4/4,0.642
Alternative,Smash Mouth,Walkin' On The Sun,4TQeNHx85xcP9YRkvJC6K1,62,0.346,0.745,207787,0.972,0.0,F#,0.148,-5.598,Major,0.0316,123.067,4/4,0.968
Alternative,Weezer,California Kids,0UbS4oWIo2nUXeTxsvFaN1,50,0.00351,0.422,205427,0.953,1.03e-06,D#,0.575,-5.927,Major,0.123,152.009,4/4,0.2
Alternative,Kari Jobe,Revelation Song,3pZVH0mPC6fxtmjOT0i9t5,52,0.609,0.276,361387,0.263,0.0,G,0.0802,-7.859,Major,0.0372,124.404,4/4,0.0997
Alternative,Joyce Manor,Falling in Love Again,2M0IWOmIi079R1MaPVlOW3,46,0.00175,0.335,148120,0.936,4.81e-06,D,0.14,-2.056,Major,0.0797,177.422,4/4,0.436
Alternative,The Velvet Underground,I'll Be Your Mirror,4PINSJIlBWsnVeveicq1S8,50,0.176,0.609,134040,0.295,1.86e-06,G,0.0859,-14.933,Major,0.0328,108.976,4/4,0.279
Alternative,The 1975,Settle Down,36YLqJHsNHHODwX5gDPEBb,51,0.00298,0.586,239853,0.954,0.000132,D,0.723,-5.293,Major,0.0492,107.087,4/4,0.84
Alternative,Static-X,Push It,6O7pihLJgeqxUnG7u9oYL2,60,0.000393,0.557,154907,0.978,4.42e-06,C,0.287,-3.965,Major,0.0493,149.887,4/4,0.499
Alternative,Skillet,Hero,4CbKVDZkYKdv69I4bCaKUq,68,0.00791,0.533,186813,0.967,0.0,C#,0.336,-2.543,Major,0.0995,142.018,4/4,0.782
Alternative,The Revivalists,When I'm Able,2ZQD6TKvFnnVVNMYb585NH,39,0.127,0.621,194000,0.694,0.0,C,0.393,-6.344,Major,0.0294,138.016,4/4,0.4
Alternative,Blood Orange,Out Of Your League,4qdbCACEpbFWIpKSMa2fZC,50,0.103,0.896,140923,0.469,0.00456,D,0.108,-7.13,Minor,0.0555,120.849,4/4,0.676
Alternative,Little Dragon,High,1k0X1YAP8J9hQ0lC93N71a,43,0.588,0.628,256973,0.351,0.00375,C,0.104,-10.684,Major,0.0304,78.982,4/4,0.56
Alternative,Ro James,Permission,3gx6E5B42WHKf5agVWQAf2,53,0.195,0.663,281512,0.481,6.7e-05,F#,0.0836,-4.121,Minor,0.0545,75.523,4/4,0.306
Alternative,Chloe x Halle,Grown (from Grown-ish),4KtAeSxfNSWFrJCergMHpz,45,0.0868,0.412,154880,0.553,1.38e-05,G#,0.384,-6.689,Major,0.0434,179.304,4/4,0.322
Alternative,Soul Asylum,Somebody to Shove,41TVMXb9THdtTlo2KojUDe,45,0.00336,0.434,194733,0.909,0.0,G,0.324,-6.381,Major,0.0886,162.235,4/4,0.356
Alternative,The Swellers,The Best I Ever Had - Allbum Version,1FTBGFF2CJIEsMdkRMHo6z,47,9.09e-05,0.359,239560,0.983,3.54e-05,D,0.335,-3.69,Minor,0.0864,193.042,4/4,0.486
Alternative,Lucinda Williams,Fruits Of My Labor,31nItlXwgCCFpttS50Rbxf,51,0.673,0.341,288133,0.249,0.000445,G#,0.107,-12.009,Major,0.0445,84.036,3/4,0.173
Alternative,MISSIO,I See You,3EqHFfCSbX4Z1pX8JQ0c0r,60,0.000484,0.461,228736,0.766,5.68e-05,C#,0.0884,-6.875,Major,0.0566,169.957,4/4,0.399
Alternative,Nirvana,Oh Me,2vfCSwToh0Am0O4zgHXfn7,56,0.709,0.529,206200,0.522,0.0142,G#,0.202,-13.145,Major,0.115,72.153,4/4,0.243
Alternative,Welshly Arms,Learn To Let Go,6Lqqc9jcrXUSxiDA5jle1j,61,0.00605,0.499,214431,0.848,0.0,D,0.294,-4.718,Major,0.0436,150.069,4/4,0.474
Alternative,Billy Talent,Try Honesty,3fPSHjVO4iwwGEhHvTwlNb,57,0.000141,0.462,253707,0.984,4.28e-05,F#,0.377,-3.559,Minor,0.114,156.921,4/4,0.327
Alternative,Noname,Casket Pretty,2TjXFgo8V7BBfJ4HZw0z2W,44,0.929,0.605,110504,0.488,0.0185,D#,0.107,-10.737,Major,0.407,104.25,3/4,0.504
Alternative,Leven Kali,1 On 1,2rnRLFQSd9Kp7crIKUxMy5,55,0.0432,0.661,275827,0.655,0.000309,C#,0.267,-5.639,Major,0.0344,139.98,4/4,0.388
Alternative,Pearl Jam,Once,4nRyBgsqXEP2oPfzaMeZr7,54,0.00535,0.413,231368,0.885,1.97e-06,D,0.166,-7.695,Minor,0.0777,113.807,4/4,0.211
